,案例1,案例2,sim_w2v,sim_original,sim_vsm,sim_BERT,sim_Human
261,0425\10.json,0425\7.json,0.561,0.512,0.528352465,0.75827426,0.522872685
262,0425\10.json,0425\70.json,0.571,0.519,0.600480577,0.822592766,0.505901878
263,0425\10.json,0425\71.json,0.617,0.553,0.615384615,0.78754476,0.555605164
264,0425\10.json,0425\72.json,0.604,0.58,0.600480577,0.710317003,0.561749827
265,0425\10.json,0425\73.json,0.567,0.514,0.570087713,0.819600175,0.570068545
266,0425\10.json,0425\74.json,0.545,0.493,0.531609533,0.880980733,0.533069963
267,0425\10.json,0425\75.json,0.56,0.499,0.490653381,0.726649807,0.519506944
268,0425\10.json,0425\76.json,0.551,0.48,0.473432076,0.802171804,0.4775
269,0425\10.json,0425\77.json,0.578,0.52,0.555936987,0.743470278,0.544103692
270,0425\10.json,0425\78.json,0.589,0.537,0.543557307,0.754043324,0.556087796
271,0425\10.json,0425\79.json,0.644,0.628,0.684736788,0.798469062,0.655026829
272,0425\10.json,0425\8.json,0.641,0.605,0.668993608,0.794139641,0.589873719
273,0425\10.json,0425\80.json,0.573,0.514,0.572502574,0.601726647,0.541666667
274,0425\10.json,0425\81.json,0.626,0.599,0.528395949,0.794622005,0.537242279
275,0425\10.json,0425\82.json,0.514,0.446,0.531609533,0.809047674,0.4775
276,0425\10.json,0425\83.json,0.579,0.552,0.584897652,0.74473714,0.567855018
277,0425\10.json,0425\84.json,0.588,0.516,0.55634864,0.827113139,0.555605164
278,0425\10.json,0425\85.json,0.543,0.478,0.531609533,0.709357036,0.527203286
279,0425\10.json,0425\86.json,0.578,0.571,0.640512615,0.832655706,0.526693496
280,0425\10.json,0425\87.json,0.544,0.491,0.5204165,0.778021344,0.4775
281,0425\10.json,0425\88.json,0.487,0.432,0.490716492,0.770484176,0.4775
282,0425\10.json,0425\89.json,0.559,0.505,0.555936987,0.886550304,0.527203286
283,0425\10.json,0425\9.json,0.595,0.552,0.584897652,0.742022634,0.533069963
284,0425\10.json,0425\90.json,0.618,0.59,0.668993608,0.874973105,0.611236775
285,0425\10.json,0425\91.json,0.597,0.525,0.518874522,0.831178962,0.527203286
286,0425\10.json,0425\92.json,0.564,0.507,0.588348405,0.803489609,0.505901878
287,0425\10.json,0425\93.json,0.525,0.482,0.531609533,0.824331097,0.4775
288,0425\10.json,0425\94.json,0.614,0.561,0.584897652,0.804902695,0.576451721
289,0425\10.json,0425\95.json,0.62,0.571,0.627181508,0.760091915,0.570068545
290,0425\10.json,0425\96.json,0.574,0.517,0.615384615,0.791532336,0.567855018
291,0425\10.json,0425\97.json,0.582,0.544,0.615384615,0.870910252,0.567855018
292,0425\10.json,0425\98.json,0.559,0.506,0.5204165,0.889362839,0.533069963
293,0425\10.json,0425\99.json,0.536,0.484,0.473432076,0.75113289,0.4775
294,0425\11.json,0425\12.json,0.56,0.56,0.590909091,0.74392423,0.54100853
295,0425\11.json,0425\13.json,0.552,0.517,0.554321863,0.700147434,0.514166667
296,0425\11.json,0425\14.json,0.583,0.54,0.596962006,0.696587611,0.548548163
297,0425\11.json,0425\15.json,0.582,0.557,0.622375914,0.718762467,0.505901878
298,0425\11.json,0425\16.json,0.432,0.432,0.501745206,0.617261755,0.4775
299,0425\11.json,0425\17.json,0.546,0.546,0.554321863,0.593180863,0.514166667
300,0425\11.json,0425\18.json,0.487,0.449,0.543557307,0.593932099,0.505901878
301,0425\11.json,0425\19.json,0.537,0.505,0.574426958,0.67309513,0.503427249
302,0425\11.json,0425\2.json,0.548,0.5,0.554321863,0.64640718,0.514166667
303,0425\11.json,0425\20.json,0.628,0.603,0.667423812,0.595458067,0.509254265
304,0425\11.json,0425\21.json,0.603,0.603,0.604814737,0.699114626,0.505901878
305,0425\11.json,0425\22.json,0.58,0.58,0.604814737,0.61688799,0.514166667
306,0425\11.json,0425\23.json,0.614,0.576,0.622375914,0.717288711,0.624166667
307,0425\11.json,0425\24.json,0.548,0.495,0.554321863,0.611914585,0.514166667
308,0425\11.json,0425\25.json,0.552,0.533,0.533396461,0.683939173,0.505901878
309,0425\11.json,0425\26.json,0.596,0.557,0.565752382,0.66491923,0.54100853
310,0425\11.json,0425\27.json,0.619,0.582,0.609271796,0.606542515,0.565451621
311,0425\11.json,0425\28.json,0.545,0.529,0.590909091,0.667453257,0.522407312
312,0425\11.json,0425\29.json,0.597,0.597,0.636363636,0.553323264,0.56973663
313,0425\11.json,0425\3.json,0.598,0.598,0.667423812,0.696523903,0.596578493
314,0425\11.json,0425\30.json,0.556,0.506,0.543557307,0.639734108,0.4775
315,0425\11.json,0425\31.json,0.581,0.546,0.590909091,0.681303146,0.514166667
316,0425\11.json,0425\32.json,0.588,0.58,0.590909091,0.651933241,0.522407312
317,0425\11.json,0425\33.json,0.541,0.533,0.543557307,0.647876149,0.522407312
318,0425\11.json,0425\34.json,0.531,0.487,0.533396461,0.614703411,0.4775
319,0425\11.json,0425\35.json,0.592,0.582,0.609271796,0.71079676,0.548548163
320,0425\11.json,0425\36.json,0.626,0.626,0.667423812,0.64606294,0.58913353
321,0425\11.json,0425\37.json,0.563,0.563,0.604814737,0.653977864,0.54100853
322,0425\11.json,0425\38.json,0.626,0.626,0.65327458,0.607606313,0.54100853
323,0425\11.json,0425\39.json,0.626,0.626,0.684762383,0.588622174,0.596578493
324,0425\11.json,0425\4.json,0.476,0.432,0.533465069,0.592027005,0.4775
325,0425\11.json,0425\40.json,0.686,0.686,0.746202507,0.689448814,0.596578493
326,0425\11.json,0425\41.json,0.594,0.569,0.590909091,0.609609109,0.514166667
327,0425\11.json,0425\42.json,0.569,0.569,0.609271796,0.746001,0.565451621
328,0425\11.json,0425\43.json,0.55,0.54,0.577920492,0.674133175,0.54100853
329,0425\11.json,0425\44.json,0.561,0.512,0.565752382,0.646745096,0.514166667
